バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
Lincle,QUANTUM TELEPORTATION,LEGGENDARIA,12,1845,PEAK
Lincle,quaver♪,NORMAL,4,357,NOTES
Lincle,quaver♪,HYPER,9,1075,NOTES
Lincle,quaver♪,ANOTHER,12,1745,NOTES
HEROIC VERSE,Queen Kaguya,NORMAL,6,,
HEROIC VERSE,Queen Kaguya,HYPER,9,952,PEAK
HEROIC VERSE,Queen Kaguya,ANOTHER,11,1330,PEAK
EMPRESS,Queen's Tragedy,NORMAL,4,,
EMPRESS,Queen's Tragedy,HYPER,8,872,NOTES
EMPRESS,Queen's Tragedy,ANOTHER,10,1135,NOTES
SIRIUS,quell～the seventh slave～,NORMAL,4,490,PEAK
SIRIUS,quell～the seventh slave～,HYPER,9,926,PEAK
SIRIUS,quell～the seventh slave～,ANOTHER,12,1646,NOTES
copula,quick master (reform version),NORMAL,1,80,SCRATCH
copula,quick master (reform version),HYPER,3,178,PEAK
copula,quick master (reform version),ANOTHER,5,264,PEAK
Lincle,Quick Silver,NORMAL,5,404,PEAK
Lincle,Quick Silver,HYPER,9,941,NOTES
Lincle,Quick Silver,ANOTHER,11,1353,NOTES
9th style,Quickening,NORMAL,5,,
9th style,Quickening,HYPER,9,875,NOTES
9th style,Quickening,ANOTHER,10,1062,NOTES
1st&substream,R3,NORMAL,4,330,NOTES
1st&substream,R3,HYPER,5,368,NOTES
1st&substream,R3,ANOTHER,6,454,PEAK
3rd style,R5,NORMAL,5,387,PEAK
3rd style,R5,HYPER,8,588,PEAK
3rd style,R5,ANOTHER,11,889,PEAK
SPADA,ra'am,NORMAL,8,653,PEAK
SPADA,ra'am,HYPER,10,1003,PEAK
SPADA,ra'am,ANOTHER,12,1461,PEAK
HAPPY SKY,rage against usual,NORMAL,7,697,PEAK
HAPPY SKY,rage against usual,HYPER,10,,
HAPPY SKY,rage against usual,ANOTHER,12,1527,PEAK
5th style,Radical Faith,NORMAL,5,,
5th style,Radical Faith,HYPER,6,768,PEAK
5th style,Radical Faith,ANOTHER,7,660,PEAK
CastHour,RAGE feat.H14 of LEONAIR,BEGINNER,3,,
CastHour,RAGE feat.H14 of LEONAIR,NORMAL,6,,
CastHour,RAGE feat.H14 of LEONAIR,HYPER,10,1149,SCRATCH
CastHour,RAGE feat.H14 of LEONAIR,ANOTHER,12,1886,SCRATCH
SINOBUZ,RAIN,NORMAL,6,588,NOTES
SINOBUZ,RAIN,HYPER,9,928,NOTES
SINOBUZ,RAIN,ANOTHER,12,1657,NOTES
tricoro,Rainbow after snow,NORMAL,4,370,PEAK
tricoro,Rainbow after snow,HYPER,7,,
tricoro,Rainbow after snow,ANOTHER,10,1090,PEAK
8th style,rainbow flyer,NORMAL,5,422,PEAK
8th style,rainbow flyer,HYPER,9,859,PEAK
8th style,rainbow flyer,ANOTHER,11,1081,PEAK
SPADA,rainbow guitar weeps,NORMAL,5,,
SPADA,rainbow guitar weeps,HYPER,9,,
SPADA,rainbow guitar weeps,ANOTHER,11,1406,PEAK
10th style,rainbow rainbow,NORMAL,7,,
10th style,rainbow rainbow,HYPER,10,1156,PEAK
10th style,rainbow rainbow,ANOTHER,11,1377,NOTES
HEROIC VERSE,Rainstorm,NORMAL,5,,
HEROIC VERSE,Rainstorm,HYPER,8,784,NOTES
HEROIC VERSE,Rainstorm,ANOTHER,10,1146,NOTES
SIRIUS,Raison d'etre～交差する宿命～,NORMAL,5,614,NOTES
SIRIUS,Raison d'etre～交差する宿命～,HYPER,10,1184,NOTES
SIRIUS,Raison d'etre～交差する宿命～,ANOTHER,11,1389,NOTES
CANNON BALLERS,Rampage,NORMAL,6,653,NOTES
CANNON BALLERS,Rampage,HYPER,10,1257,CHORD
CANNON BALLERS,Rampage,ANOTHER,12,1831,CHORD
IIDX RED,Raspberry Heart(English version),NORMAL,5,,
IIDX RED,Raspberry Heart(English version),HYPER,8,797,PEAK
IIDX RED,Raspberry Heart(English version),ANOTHER,9,932,NOTES
Pinky Crush,Raspberry Potion (feat.あれたん & ぎゃるのしん☆),NORMAL,5,,
Pinky Crush,Raspberry Potion (feat.あれたん & ぎゃるのしん☆),HYPER,9,910,NOTES
Pinky Crush,Raspberry Potion (feat.あれたん & ぎゃるのしん☆),ANOTHER,11,1267,CHORD
CANNON BALLERS,Raspberry Railgun,NORMAL,7,719,NOTES
CANNON BALLERS,Raspberry Railgun,HYPER,10,1155,NOTES
CANNON BALLERS,Raspberry Railgun,ANOTHER,12,1606,NOTES
SINOBUZ,Rave Cannon,NORMAL,5,,
SINOBUZ,Rave Cannon,HYPER,9,946,NOTES
SINOBUZ,Rave Cannon,ANOTHER,12,1700,NOTES
HEROIC VERSE,Rave lithosphere,NORMAL,5,,
HEROIC VERSE,Rave lithosphere,HYPER,8,,
HEROIC VERSE,Rave lithosphere,ANOTHER,11,1344,NOTES
HEROIC VERSE,Rave Patroller,NORMAL,7,696,NOTES
HEROIC VERSE,Rave Patroller,HYPER,10,1189,NOTES
HEROIC VERSE,Rave Patroller,ANOTHER,12,1705,PEAK
PENDUAL,Rave*it!! Rave*it!!,NORMAL,6,517,SCRATCH
PENDUAL,Rave*it!! Rave*it!!,HYPER,9,863,SCRATCH
PENDUAL,Rave*it!! Rave*it!!,ANOTHER,12,1656,CHORD
10th style,Ready To Rockit Blues,NORMAL,3,,
10th style,Ready To Rockit Blues,HYPER,6,,
10th style,Ready To Rockit Blues,ANOTHER,9,719,CHARGE
5th style,Real,NORMAL,5,,
5th style,Real,HYPER,8,866,PEAK
5th style,Real,ANOTHER,9,920,PEAK
PENDUAL,Realize Maze,NORMAL,6,,
PENDUAL,Realize Maze,HYPER,9,1054,NOTES
PENDUAL,Realize Maze,ANOTHER,11,1503,CHORD
SPADA,Recollection,NORMAL,5,,
SPADA,Recollection,HYPER,7,883,PEAK
SPADA,Recollection,ANOTHER,9,1118,CHORD
EPOLIS,Red Determination,NORMAL,5,,
EPOLIS,Red Determination,HYPER,8,815,NOTES
EPOLIS,Red Determination,ANOTHER,11,1355,SCRATCH
RESIDENT,Red Soul,NORMAL,6,,
RESIDENT,Red Soul,HYPER,9,915,NOTES
RESIDENT,Red Soul,ANOTHER,11,1494,SCRATCH
IIDX RED,RED ZONE,BEGINNER,1,89,PEAK
IIDX RED,RED ZONE,NORMAL,5,567,NOTES
IIDX RED,RED ZONE,HYPER,9,975,NOTES
IIDX RED,RED ZONE,ANOTHER,11,1184,NOTES
IIDX RED,RED ZONE,LEGGENDARIA,12,1566,NOTES
SIRIUS,Red. by Full Metal Jacket,NORMAL,6,517,SCRATCH
SIRIUS,Red. by Full Metal Jacket,HYPER,10,1062,SCRATCH
SIRIUS,Red. by Full Metal Jacket,ANOTHER,12,1643,SCRATCH
Rootage,Red. by Jack Trance,NORMAL,7,770,SCRATCH
Rootage,Red. by Jack Trance,HYPER,10,1122,SCRATCH
Rootage,Red. by Jack Trance,ANOTHER,12,1862,SCRATCH
tricoro,Reflection Into the EDEN,NORMAL,4,404,PEAK
tricoro,Reflection Into the EDEN,HYPER,7,740,PEAK
tricoro,Reflection Into the EDEN,ANOTHER,10,1100,PEAK
INFINITAS,REFLEXES MANIPULATION,NORMAL,7,,
INFINITAS,REFLEXES MANIPULATION,HYPER,10,,
INFINITAS,REFLEXES MANIPULATION,ANOTHER,12,1800,NOTES
PENDUAL,Reflux,NORMAL,5,,
PENDUAL,Reflux,HYPER,9,822,NOTES
PENDUAL,Reflux,ANOTHER,12,1574,CHARGE
PENDUAL,Reflux,LEGGENDARIA,12,1660,SCRATCH
SPADA,refractive index,NORMAL,3,374,NOTES
SPADA,refractive index,HYPER,7,731,NOTES
SPADA,refractive index,ANOTHER,11,1360,NOTES
copula,refrain,NORMAL,6,,
copula,refrain,HYPER,10,1208,NOTES
copula,refrain,ANOTHER,12,1857,NOTES
tricoro,Re:GENERATION,BEGINNER,1,122,PEAK
tricoro,Re:GENERATION,NORMAL,5,481,NOTES
tricoro,Re:GENERATION,HYPER,8,,
tricoro,Re:GENERATION,ANOTHER,10,1145,NOTES
5th style,Regulus,NORMAL,6,,
5th style,Regulus,HYPER,9,788,PEAK
5th style,Regulus,ANOTHER,10,881,PEAK
3rd style,REINCARNATION,NORMAL,4,424,PEAK
3rd style,REINCARNATION,HYPER,5,525,PEAK
3rd style,REINCARNATION,ANOTHER,7,643,PEAK
INFINITAS,Rejection Girl,BEGINNER,2,201,NOTES
INFINITAS,Rejection Girl,NORMAL,5,514,PEAK
INFINITAS,Rejection Girl,HYPER,9,844,NOTES
INFINITAS,Rejection Girl,ANOTHER,11,1352,CHARGE
Lincle,Release The Music,NORMAL,4,430,PEAK
Lincle,Release The Music,HYPER,7,740,NOTES
Lincle,Release The Music,ANOTHER,10,1081,NOTES
INFINITAS,Remain,NORMAL,6,,
INFINITAS,Remain,HYPER,10,,
INFINITAS,Remain,ANOTHER,12,1319,CHARGE
DJ TROOPERS,REMINISCENCE,NORMAL,6,,
DJ TROOPERS,REMINISCENCE,HYPER,9,939,NOTES
DJ TROOPERS,REMINISCENCE,ANOTHER,10,1183,CHORD
Rootage,REPLAY,NORMAL,4,478,NOTES
Rootage,REPLAY,HYPER,8,840,NOTES
Rootage,REPLAY,ANOTHER,10,1141,NOTES
Lincle,RESISTANCE,NORMAL,3,320,NOTES
Lincle,RESISTANCE,HYPER,7,679,NOTES
Lincle,RESISTANCE,ANOTHER,10,1198,CHORD
EPOLIS,Resonant,NORMAL,5,,
EPOLIS,Resonant,HYPER,10,,
EPOLIS,Resonant,ANOTHER,12,1864,NOTES
IIDX RED,RESONATE 1794,NORMAL,5,,
IIDX RED,RESONATE 1794,HYPER,10,745,PEAK
IIDX RED,RESONATE 1794,ANOTHER,11,951,PEAK
Resort Anthem,reunion,BEGINNER,3,,
Resort Anthem,reunion,NORMAL,8,708,PEAK
Resort Anthem,reunion,HYPER,11,1239,PEAK
Resort Anthem,reunion,ANOTHER,12,1677,CHORD
CANNON BALLERS,REVOLVER,NORMAL,5,471,NOTES
CANNON BALLERS,REVOLVER,HYPER,8,844,NOTES
CANNON BALLERS,REVOLVER,ANOTHER,11,1405,NOTES
RESIDENT,Rewind Time,NORMAL,4,,
RESIDENT,Rewind Time,HYPER,7,658,NOTES
RESIDENT,Rewind Time,ANOTHER,10,1107,NOTES
5th style,RIDE ON THE LIGHT (HI GREAT MIX),NORMAL,4,452,NOTES
5th style,RIDE ON THE LIGHT (HI GREAT MIX),HYPER,5,548,PEAK
5th style,RIDE ON THE LIGHT (HI GREAT MIX),ANOTHER,8,862,PEAK
5th style,RIDE ON THE LIGHT (HI GREAT MIX),LEGGENDARIA,10,931,CHARGE
copula,Ride To The Core,NORMAL,5,,
copula,Ride To The Core,HYPER,9,,
copula,Ride To The Core,ANOTHER,11,1309,NOTES
RESIDENT,RINNE,NORMAL,5,604,NOTES
RESIDENT,RINNE,HYPER,10,1186,CHORD
RESIDENT,RINNE,ANOTHER,12,1788,CHORD
SPADA,RISE,NORMAL,5,,
SPADA,RISE,HYPER,8,701,PEAK
SPADA,RISE,ANOTHER,10,951,PEAK
CANNON BALLERS,Rise Circuit,NORMAL,5,,
CANNON BALLERS,Rise Circuit,HYPER,9,,
CANNON BALLERS,Rise Circuit,ANOTHER,11,1180,CHARGE
10th style,Rise'n Beauty,NORMAL,6,,
10th style,Rise'n Beauty,HYPER,9,841,PEAK
10th style,Rise'n Beauty,ANOTHER,10,1094,NOTES
SINOBUZ,RISING FIRE HAWK,NORMAL,5,440,NOTES
SINOBUZ,RISING FIRE HAWK,HYPER,8,768,NOTES
SINOBUZ,RISING FIRE HAWK,ANOTHER,11,1372,CHORD
DJ TROOPERS,Rising in the Sun(original mix),NORMAL,5,,
DJ TROOPERS,Rising in the Sun(original mix),HYPER,9,864,NOTES
DJ TROOPERS,Rising in the Sun(original mix),ANOTHER,11,1202,PEAK
5th style,RISLIM,NORMAL,4,463,NOTES
5th style,RISLIM,HYPER,7,625,PEAK
9th style,RISLIM -Remix-,NORMAL,4,405,PEAK
9th style,RISLIM -Remix-,HYPER,6,508,PEAK
9th style,RISLIM -Remix-,ANOTHER,11,959,PEAK
DJ TROOPERS,Ristaccia,NORMAL,6,,
DJ TROOPERS,Ristaccia,HYPER,9,1032,PEAK
DJ TROOPERS,Ristaccia,ANOTHER,12,1386,PEAK
BISTROVER,Ritual of Anubis,NORMAL,6,,
BISTROVER,Ritual of Anubis,HYPER,9,,
BISTROVER,Ritual of Anubis,ANOTHER,11,1422,NOTES
SPADA,RIZING YOU UP,NORMAL,6,,
SPADA,RIZING YOU UP,HYPER,9,1080,CHORD
SPADA,RIZING YOU UP,ANOTHER,10,1295,CHORD
Pinky Crush,Roar of Chronos,NORMAL,6,,
Pinky Crush,Roar of Chronos,HYPER,10,,
Pinky Crush,Roar of Chronos,ANOTHER,12,1991,NOTES
Resort Anthem,Rock Da House,NORMAL,5,456,NOTES
Resort Anthem,Rock Da House,HYPER,9,836,NOTES
Resort Anthem,Rock Da House,ANOTHER,11,1128,NOTES
copula,Rock It,NORMAL,5,590,NOTES
copula,Rock It,HYPER,8,859,NOTES
copula,Rock It,ANOTHER,11,1500,NOTES
DJ TROOPERS,ROCK ME NOW,NORMAL,6,,
DJ TROOPERS,ROCK ME NOW,HYPER,9,,
DJ TROOPERS,ROCK ME NOW,ANOTHER,10,1266,CHORD
BISTROVER,rommmo,NORMAL,6,,
BISTROVER,rommmo,HYPER,9,946,NOTES
BISTROVER,rommmo,ANOTHER,12,1762,CHORD
Rootage,R∞tAge,BEGINNER,3,273,NOTES
Rootage,R∞tAge,NORMAL,5,565,PEAK
Rootage,R∞tAge,HYPER,8,,
Rootage,R∞tAge,ANOTHER,11,1503,CHORD
SIRIUS,Roots of my way!,NORMAL,4,447,PEAK
SIRIUS,Roots of my way!,HYPER,7,683,PEAK
SIRIUS,Roots of my way!,ANOTHER,9,1025,CHORD
BISTROVER,Rosa azuL,NORMAL,5,,
BISTROVER,Rosa azuL,HYPER,9,926,NOTES
BISTROVER,Rosa azuL,ANOTHER,11,1417,NOTES
6th style,rottel-da-sun,NORMAL,5,,
6th style,rottel-da-sun,HYPER,8,,
6th style,rottel-da-sun,ANOTHER,10,936,SCRATCH
9th style,rottel-the-Mercury,NORMAL,6,,
9th style,rottel-the-Mercury,HYPER,9,963,PEAK
9th style,rottel-the-Mercury,ANOTHER,10,1137,CHORD
SINOBUZ,ROTTERDAM SHOGUN,NORMAL,6,574,NOTES
SINOBUZ,ROTTERDAM SHOGUN,HYPER,9,930,NOTES
SINOBUZ,ROTTERDAM SHOGUN,ANOTHER,11,1299,NOTES
HEROIC VERSE,rough percussionythm,NORMAL,6,,
HEROIC VERSE,rough percussionythm,HYPER,9,853,SCRATCH
HEROIC VERSE,rough percussionythm,ANOTHER,11,1295,SCRATCH
Lincle,Round and Round,NORMAL,4,403,PEAK
Lincle,Round and Round,HYPER,6,622,PEAK
Lincle,Round and Round,ANOTHER,9,1088,NOTES
6th style,route 80s,NORMAL,6,,
6th style,route 80s,HYPER,8,,
6th style,route 80s,ANOTHER,9,766,SCRATCH
copula,Routing,NORMAL,6,482,PEAK
copula,Routing,HYPER,9,860,SCRATCH
copula,Routing,ANOTHER,11,1323,SCRATCH
BISTROVER,Rowdy,NORMAL,5,,
BISTROVER,Rowdy,HYPER,8,795,PEAK
BISTROVER,Rowdy,ANOTHER,10,1256,NOTES
Rootage,ROZA DE ANDALUCIA,NORMAL,6,,
Rootage,ROZA DE ANDALUCIA,HYPER,9,,
Rootage,ROZA DE ANDALUCIA,ANOTHER,11,1560,NOTES
BISTROVER,Rub-a Dub-a,NORMAL,5,,
BISTROVER,Rub-a Dub-a,HYPER,8,772,PEAK
BISTROVER,Rub-a Dub-a,ANOTHER,10,1102,CHORD
BISTROVER,Rubrum Piano,NORMAL,5,,
BISTROVER,Rubrum Piano,HYPER,9,877,NOTES
BISTROVER,Rubrum Piano,ANOTHER,11,1253,NOTES
Rootage,ruin of opals,NORMAL,6,533,SOF-LAN
Rootage,ruin of opals,HYPER,10,1016,SOF-LAN
Rootage,ruin of opals,ANOTHER,12,1646,SOF-LAN
RESIDENT,Ruler or Loser,NORMAL,5,,
RESIDENT,Ruler or Loser,HYPER,8,845,NOTES
RESIDENT,Ruler or Loser,ANOTHER,11,1339,NOTES
tricoro,rumrum triplets,NORMAL,5,491,PEAK
tricoro,rumrum triplets,HYPER,10,1029,NOTES
tricoro,rumrum triplets,ANOTHER,11,1541,NOTES
INFINITAS,Rush!!,NORMAL,4,,
INFINITAS,Rush!!,HYPER,7,,
INFINITAS,Rush!!,ANOTHER,10,1157,NOTES
tricoro,S!ck,NORMAL,5,,
tricoro,S!ck,HYPER,8,808,NOTES
tricoro,S!ck,ANOTHER,11,1373,PEAK
HEROIC VERSE,S!ck (Nhato Remix),NORMAL,6,,
HEROIC VERSE,S!ck (Nhato Remix),HYPER,9,830,NOTES
HEROIC VERSE,S!ck (Nhato Remix),ANOTHER,11,1279,CHARGE
BISTROVER,S-Bahn,NORMAL,4,491,NOTES
BISTROVER,S-Bahn,HYPER,7,800,NOTES
BISTROVER,S-Bahn,ANOTHER,9,1092,NOTES
Lincle,SA.YO.NA.RA. SUPER STAR,NORMAL,4,248,PEAK
Lincle,SA.YO.NA.RA. SUPER STAR,HYPER,8,656,SOF-LAN
Lincle,SA.YO.NA.RA. SUPER STAR,ANOTHER,10,868,PEAK
Resort Anthem,SABER WING,NORMAL,5,282,SOF-LAN
Resort Anthem,SABER WING,HYPER,9,952,SOF-LAN
Resort Anthem,SABER WING,ANOTHER,11,1438,SOF-LAN
PENDUAL,Sakura Mirage,NORMAL,6,,
PENDUAL,Sakura Mirage,HYPER,8,,
PENDUAL,Sakura Mirage,ANOTHER,11,1190,PEAK
Resort Anthem,Sakura Reflection,NORMAL,3,242,PEAK
Resort Anthem,Sakura Reflection,HYPER,9,815,NOTES
Resort Anthem,Sakura Reflection,ANOTHER,11,1190,CHARGE
Resort Anthem,sakura storm,NORMAL,5,529,NOTES
Resort Anthem,sakura storm,HYPER,8,675,SCRATCH
Resort Anthem,sakura storm,ANOTHER,12,1225,NOTES
INFINITAS,Sakura Sunrise,NORMAL,6,,
INFINITAS,Sakura Sunrise,HYPER,9,,
INFINITAS,Sakura Sunrise,ANOTHER,11,1154,CHARGE
PENDUAL,SAMSARA,NORMAL,4,432,SCRATCH
PENDUAL,SAMSARA,HYPER,7,731,PEAK
PENDUAL,SAMSARA,ANOTHER,10,1031,NOTES
SINOBUZ,SAMURAI-Scramble,NORMAL,5,511,SCRATCH
SINOBUZ,SAMURAI-Scramble,HYPER,9,865,SCRATCH
SINOBUZ,SAMURAI-Scramble,ANOTHER,11,1232,SCRATCH
SINOBUZ,SAMURAI-Scramble,LEGGENDARIA,12,1576,SCRATCH
SINOBUZ,Sarutobi Champion is 拙者,NORMAL,6,503,PEAK
SINOBUZ,Sarutobi Champion is 拙者,HYPER,9,809,NOTES
SINOBUZ,Sarutobi Champion is 拙者,ANOTHER,11,1153,PEAK
Pinky Crush,Satellite Burst,NORMAL,6,,
Pinky Crush,Satellite Burst,HYPER,10,1119,NOTES
Pinky Crush,Satellite Burst,ANOTHER,12,2000,NOTES
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",NORMAL,6,,
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",HYPER,9,983,PEAK
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",ANOTHER,11,1293,NOTES
DJ TROOPERS,satfinal,NORMAL,5,548,NOTES
DJ TROOPERS,satfinal,HYPER,7,722,PEAK
DJ TROOPERS,satfinal,ANOTHER,9,963,NOTES
tricoro,Saturn,NORMAL,7,693,NOTES
tricoro,Saturn,HYPER,10,1040,NOTES
tricoro,Saturn,ANOTHER,11,1332,NOTES
SINOBUZ,SAY BAY,NORMAL,5,429,SCRATCH
SINOBUZ,SAY BAY,HYPER,8,771,PEAK
SINOBUZ,SAY BAY,ANOTHER,12,1455,SCRATCH
PENDUAL,Say YEEEAHH,NORMAL,6,,
PENDUAL,Say YEEEAHH,HYPER,9,952,NOTES
PENDUAL,Say YEEEAHH,ANOTHER,12,1677,CHORD
BISTROVER,Scandal,NORMAL,4,492,NOTES
BISTROVER,Scandal,HYPER,9,1009,CHARGE
BISTROVER,Scandal,ANOTHER,11,1476,CHARGE
DJ TROOPERS,scar in the earth,NORMAL,4,335,PEAK
DJ TROOPERS,scar in the earth,HYPER,5,565,PEAK
DJ TROOPERS,scar in the earth,ANOTHER,8,766,PEAK
PENDUAL,Scarlet Moon,NORMAL,6,,
PENDUAL,Scarlet Moon,HYPER,9,998,NOTES
PENDUAL,Scarlet Moon,ANOTHER,11,1389,NOTES
PENDUAL,Scars of FAUNA,NORMAL,5,,
PENDUAL,Scars of FAUNA,HYPER,8,871,CHARGE
PENDUAL,Scars of FAUNA,ANOTHER,11,1475,CHARGE
Lincle,Scharfrichter,NORMAL,5,449,NOTES
Lincle,Scharfrichter,HYPER,9,822,CHARGE
Lincle,Scharfrichter,ANOTHER,11,1472,CHARGE
3rd style,Schlagwerk,NORMAL,4,414,NOTES
3rd style,Schlagwerk,HYPER,6,663,NOTES
3rd style,Schlagwerk,ANOTHER,8,848,NOTES
SPADA,SCHWARZSCHILD FIELD,NORMAL,6,,
SPADA,SCHWARZSCHILD FIELD,HYPER,9,840,NOTES
SPADA,SCHWARZSCHILD FIELD,ANOTHER,11,1232,PEAK
HAPPY SKY,SCREAM SQUAD,NORMAL,7,609,PEAK
HAPPY SKY,SCREAM SQUAD,HYPER,10,869,PEAK
HAPPY SKY,SCREAM SQUAD,ANOTHER,12,1073,PEAK
HEROIC VERSE,SCREW // owo // SCREW,NORMAL,6,,
HEROIC VERSE,SCREW // owo // SCREW,HYPER,9,1111,SCRATCH
HEROIC VERSE,SCREW // owo // SCREW,ANOTHER,12,1567,SCRATCH
HAPPY SKY,Scripted Connection⇒ A mix,NORMAL,7,865,NOTES
HAPPY SKY,Scripted Connection⇒ A mix,HYPER,10,,
HAPPY SKY,Scripted Connection⇒ A mix,ANOTHER,12,1575,NOTES
HAPPY SKY,Scripted Connection⇒ A mix,LEGGENDARIA,12,1749,PEAK
HAPPY SKY,Scripted Connection⇒ H mix,NORMAL,7,875,NOTES
HAPPY SKY,Scripted Connection⇒ H mix,HYPER,10,1059,NOTES
HAPPY SKY,Scripted Connection⇒ H mix,ANOTHER,11,1275,NOTES
HAPPY SKY,Scripted Connection⇒ H mix,LEGGENDARIA,12,1466,PEAK
HAPPY SKY,Scripted Connection⇒ N mix,NORMAL,6,,
HAPPY SKY,Scripted Connection⇒ N mix,HYPER,8,858,NOTES
HAPPY SKY,Scripted Connection⇒ N mix,ANOTHER,10,1073,NOTES
HAPPY SKY,Scripted Connection⇒ N mix,LEGGENDARIA,11,1247,PEAK
SINOBUZ,Seaside Labyrinth,NORMAL,4,332,PEAK
SINOBUZ,Seaside Labyrinth,HYPER,7,,
SINOBUZ,Seaside Labyrinth,ANOTHER,9,953,NOTES
GOLD,Second Heaven,BEGINNER,1,112,PEAK
GOLD,Second Heaven,NORMAL,5,500,PEAK
GOLD,Second Heaven,HYPER,8,787,PEAK
GOLD,Second Heaven,ANOTHER,11,1069,PEAK
Pinky Crush,Secret Rouge,NORMAL,5,,
Pinky Crush,Secret Rouge,HYPER,8,835,NOTES
Pinky Crush,Secret Rouge,ANOTHER,10,1165,CHORD
copula,SEITEN NO TERIYAKI,NORMAL,4,374,NOTES
copula,SEITEN NO TERIYAKI,HYPER,7,661,NOTES
copula,SEITEN NO TERIYAKI,ANOTHER,11,1163,NOTES
copula,SEITEN NO TERIYAKI,LEGGENDARIA,12,1722,PEAK
SINOBUZ,Seize the Day,NORMAL,5,,
SINOBUZ,Seize the Day,HYPER,8,,
SINOBUZ,Seize the Day,ANOTHER,10,1100,CHORD
SINOBUZ,Selfish Sweet,NORMAL,3,,
SINOBUZ,Selfish Sweet,HYPER,5,493,PEAK
SINOBUZ,Selfish Sweet,ANOTHER,9,877,NOTES
copula,Sephirot,NORMAL,5,,
copula,Sephirot,HYPER,8,848,PEAK
copula,Sephirot,ANOTHER,10,1193,PEAK
SINOBUZ,SEQUENCE CAT,NORMAL,5,551,NOTES
SINOBUZ,SEQUENCE CAT,HYPER,10,1128,NOTES
SINOBUZ,SEQUENCE CAT,ANOTHER,11,1446,NOTES
RESIDENT,Seraph,NORMAL,5,,
RESIDENT,Seraph,HYPER,9,,
RESIDENT,Seraph,ANOTHER,11,1227,PEAK
Lincle,Several Words,NORMAL,4,321,PEAK
Lincle,Several Words,HYPER,8,729,NOTES
Lincle,Several Words,ANOTHER,10,1098,NOTES
Lincle,SHADE,NORMAL,5,,
Lincle,SHADE,HYPER,9,1048,NOTES
Lincle,SHADE,ANOTHER,11,1464,CHORD
DJ TROOPERS,Shades of Grey,NORMAL,5,,
DJ TROOPERS,Shades of Grey,HYPER,6,,
DJ TROOPERS,Shades of Grey,ANOTHER,8,827,NOTES
RESIDENT,Shadow World,NORMAL,4,,
RESIDENT,Shadow World,HYPER,8,836,PEAK
RESIDENT,Shadow World,ANOTHER,11,1369,CHORD
RESIDENT,Shamshir,NORMAL,5,,
RESIDENT,Shamshir,HYPER,8,751,SCRATCH
RESIDENT,Shamshir,ANOTHER,10,1132,SCRATCH
EPOLIS,Shapeshifter,NORMAL,6,566,NOTES
EPOLIS,Shapeshifter,HYPER,9,874,NOTES
EPOLIS,Shapeshifter,ANOTHER,10,1283,NOTES
SPADA,Shattered control,NORMAL,4,,
SPADA,Shattered control,HYPER,8,,
SPADA,Shattered control,ANOTHER,10,1107,NOTES
SIRIUS,She is my wife,BEGINNER,3,217,PEAK
SIRIUS,She is my wife,NORMAL,5,,
SIRIUS,She is my wife,HYPER,9,,
SIRIUS,She is my wife,ANOTHER,10,1002,PEAK
copula,SHELTER OF THE MIND,NORMAL,6,,
copula,SHELTER OF THE MIND,HYPER,9,1020,NOTES
copula,SHELTER OF THE MIND,ANOTHER,11,1538,NOTES
DJ TROOPERS,SHIFT,NORMAL,5,,
DJ TROOPERS,SHIFT,HYPER,8,,
DJ TROOPERS,SHIFT,ANOTHER,10,1000,NOTES
tricoro,Shining World,NORMAL,6,632,PEAK
tricoro,Shining World,HYPER,8,811,PEAK
tricoro,Shining World,ANOTHER,9,976,NOTES
tricoro,SHION,NORMAL,4,338,NOTES
tricoro,SHION,HYPER,7,656,NOTES
tricoro,SHION,ANOTHER,10,1359,CHORD
HEROIC VERSE,Shiva,NORMAL,4,,
HEROIC VERSE,Shiva,HYPER,8,753,NOTES
HEROIC VERSE,Shiva,ANOTHER,11,1085,NOTES
SINOBUZ,Shoot'Em All,NORMAL,3,,
SINOBUZ,Shoot'Em All,HYPER,7,,
SINOBUZ,Shoot'Em All,ANOTHER,11,1264,PEAK
PENDUAL,Shooting Fireball,NORMAL,6,,
PENDUAL,Shooting Fireball,HYPER,10,1181,NOTES
PENDUAL,Shooting Fireball,ANOTHER,12,1983,NOTES
Sparkle Shower,Shooting Star,BEGINNER,1,119,PEAK
Sparkle Shower,Shooting Star,NORMAL,4,,
Sparkle Shower,Shooting Star,HYPER,7,,
Sparkle Shower,Shooting Star,ANOTHER,10,1228,NOTES
10th style,SHOOTING STAR,NORMAL,7,651,PEAK
10th style,SHOOTING STAR,HYPER,8,855,NOTES
10th style,SHOOTING STAR,ANOTHER,9,1146,NOTES
Pinky Crush,Show Me All Your Love,NORMAL,5,,
Pinky Crush,Show Me All Your Love,HYPER,9,1018,NOTES
Pinky Crush,Show Me All Your Love,ANOTHER,11,1482,NOTES
CANNON BALLERS,SHOX,NORMAL,5,,
CANNON BALLERS,SHOX,HYPER,8,596,SCRATCH
CANNON BALLERS,SHOX,ANOTHER,10,881,NOTES
