バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性,カテゴリ
CANNON BALLERS,REVOLVER,sky_delta,HYPER,8,833,NOTES,BIT解禁曲
CANNON BALLERS,REVOLVER,sky_delta,ANOTHER,11,1374,NOTES,BIT解禁曲
RESIDENT,Rewind Time,Dazsta,NORMAL,4,360,NOTES,楽曲パック vol.26
RESIDENT,Rewind Time,Dazsta,HYPER,7,655,NOTES,楽曲パック vol.26
RESIDENT,Rewind Time,Dazsta,ANOTHER,10,1215,NOTES,楽曲パック vol.26
5th style,RIDE ON THE LIGHT (HI GREAT MIX),Mr.T,NORMAL,5,469,NOTES,BIT解禁曲
5th style,RIDE ON THE LIGHT (HI GREAT MIX),Mr.T,HYPER,8,616,PEAK,BIT解禁曲
5th style,RIDE ON THE LIGHT (HI GREAT MIX),Mr.T,ANOTHER,9,904,PEAK,BIT解禁曲
5th style,RIDE ON THE LIGHT (HI GREAT MIX),Mr.T,LEGGENDARIA,10,1010,CHARGE,BIT解禁曲
copula,Ride To The Core,GUHROOVY feat. NO+CHIN & Yuki,NORMAL,5,543,PEAK,BIT解禁曲
copula,Ride To The Core,GUHROOVY feat. NO+CHIN & Yuki,HYPER,9,855,NOTES,BIT解禁曲
copula,Ride To The Core,GUHROOVY feat. NO+CHIN & Yuki,ANOTHER,11,,,BIT解禁曲
RESIDENT,RINNE,GeMiNioИ,NORMAL,5,604,NOTES,pop'n music セレクション 楽曲パック vol.2
RESIDENT,RINNE,GeMiNioИ,HYPER,10,1172,CHORD,pop'n music セレクション 楽曲パック vol.2
RESIDENT,RINNE,GeMiNioИ,ANOTHER,12,1767,CHORD,pop'n music セレクション 楽曲パック vol.2
SPADA,RISE,Dirty Androids,NORMAL,5,496,NOTES,楽曲パック vol.7
SPADA,RISE,Dirty Androids,HYPER,8,732,NOTES,楽曲パック vol.7
SPADA,RISE,Dirty Androids,ANOTHER,10,1038,PEAK,楽曲パック vol.7
CANNON BALLERS,Rise Circuit,COSIO,NORMAL,5,489,PEAK,楽曲パック vol.14
CANNON BALLERS,Rise Circuit,COSIO,HYPER,8,845,PEAK,楽曲パック vol.14
CANNON BALLERS,Rise Circuit,COSIO,ANOTHER,11,,,楽曲パック vol.14
10th style,Rise'n Beauty,Sota feat. Cyborg Akemi,NORMAL,6,683,NOTES,BIT解禁曲
10th style,Rise'n Beauty,Sota feat. Cyborg Akemi,HYPER,10,882,NOTES,BIT解禁曲
10th style,Rise'n Beauty,Sota feat. Cyborg Akemi,ANOTHER,11,1159,NOTES,BIT解禁曲
SINOBUZ,RISING FIRE HAWK,L.E.D.-G,NORMAL,5,439,PEAK,楽曲パック vol.13
SINOBUZ,RISING FIRE HAWK,L.E.D.-G,HYPER,8,854,PEAK,楽曲パック vol.13
SINOBUZ,RISING FIRE HAWK,L.E.D.-G,ANOTHER,11,1359,CHORD,楽曲パック vol.13
DJ TROOPERS,Rising in the Sun(original mix),kors k feat.Rie,NORMAL,5,477,PEAK,BIT解禁曲
DJ TROOPERS,Rising in the Sun(original mix),kors k feat.Rie,HYPER,9,839,PEAK,BIT解禁曲
DJ TROOPERS,Rising in the Sun(original mix),kors k feat.Rie,ANOTHER,11,1187,PEAK,BIT解禁曲
5th style,RISLIM,ric,NORMAL,4,463,NOTES,BIT解禁曲
5th style,RISLIM,ric,HYPER,6,625,PEAK,BIT解禁曲
9th style,RISLIM -Remix-,ric Remixed by Hisashi Nawata,NORMAL,6,521,PEAK,BIT解禁曲
9th style,RISLIM -Remix-,ric Remixed by Hisashi Nawata,HYPER,9,817,NOTES,BIT解禁曲
9th style,RISLIM -Remix-,ric Remixed by Hisashi Nawata,ANOTHER,12,1151,PEAK,BIT解禁曲
DJ TROOPERS,Ristaccia,Zektbach,NORMAL,5,400,SCRATCH,BIT解禁曲
DJ TROOPERS,Ristaccia,Zektbach,HYPER,8,936,NOTES,BIT解禁曲
DJ TROOPERS,Ristaccia,Zektbach,ANOTHER,10,1174,PEAK,BIT解禁曲
DJ TROOPERS,Ristaccia,Zektbach,LEGGENDARIA,11,1265,PEAK,BIT解禁曲
BISTROVER,Ritual of Anubis,KO3 & Relect,NORMAL,6,580,SCRATCH,BIT解禁曲
BISTROVER,Ritual of Anubis,KO3 & Relect,HYPER,9,932,NOTES,BIT解禁曲
BISTROVER,Ritual of Anubis,KO3 & Relect,ANOTHER,11,1427,CHORD,BIT解禁曲
SPADA,RIZING YOU UP,Ryu☆,NORMAL,8,780,PEAK,BIT解禁曲
SPADA,RIZING YOU UP,Ryu☆,HYPER,10,1313,CHORD,BIT解禁曲
SPADA,RIZING YOU UP,Ryu☆,ANOTHER,12,1680,CHORD,BIT解禁曲
Pinky Crush,Roar of Chronos,"BEMANI Sound Team ""KE!JU""",NORMAL,6,628,NOTES,楽曲パック vol.29
Pinky Crush,Roar of Chronos,"BEMANI Sound Team ""KE!JU""",HYPER,10,1115,NOTES,楽曲パック vol.29
Pinky Crush,Roar of Chronos,"BEMANI Sound Team ""KE!JU""",ANOTHER,12,,,楽曲パック vol.29
Resort Anthem,Rock Da House,M-Project fw. GUHROOVY,NORMAL,5,453,NOTES,BIT解禁曲
Resort Anthem,Rock Da House,M-Project fw. GUHROOVY,HYPER,8,794,NOTES,BIT解禁曲
Resort Anthem,Rock Da House,M-Project fw. GUHROOVY,ANOTHER,10,1150,NOTES,BIT解禁曲
copula,Rock It,Hommarju,NORMAL,5,569,NOTES,楽曲パック vol.10
copula,Rock It,Hommarju,HYPER,9,931,NOTES,楽曲パック vol.10
copula,Rock It,Hommarju,ANOTHER,11,1556,NOTES,楽曲パック vol.10
DJ TROOPERS,ROCK ME NOW,GUHROOVY fw. NO+CHIN,NORMAL,5,,,BIT解禁曲
DJ TROOPERS,ROCK ME NOW,GUHROOVY fw. NO+CHIN,HYPER,9,858,PEAK,BIT解禁曲
BISTROVER,rommmo,callasoiled,NORMAL,6,612,NOTES,楽曲パック vol.22
BISTROVER,rommmo,callasoiled,HYPER,9,965,PEAK,楽曲パック vol.22
BISTROVER,rommmo,callasoiled,ANOTHER,11,1297,PEAK,楽曲パック vol.22
Rootage,R∞tAge,"BEMANI Sound Team ""HuΣeR+""",NORMAL,5,569,PEAK,楽曲パック vol.16
Rootage,R∞tAge,"BEMANI Sound Team ""HuΣeR+""",HYPER,8,1058,NOTES,楽曲パック vol.16
Rootage,R∞tAge,"BEMANI Sound Team ""HuΣeR+""",ANOTHER,11,1453,CHORD,楽曲パック vol.16
SIRIUS,Roots of my way!,ナイア,NORMAL,5,500,NOTES,BIT解禁曲
SIRIUS,Roots of my way!,ナイア,HYPER,7,683,PEAK,BIT解禁曲
SIRIUS,Roots of my way!,ナイア,ANOTHER,9,1025,CHORD,BIT解禁曲
BISTROVER,Rosa azuL,lapix,NORMAL,5,477,NOTES,BIT解禁曲
BISTROVER,Rosa azuL,lapix,HYPER,9,933,NOTES,BIT解禁曲
BISTROVER,Rosa azuL,lapix,ANOTHER,11,1437,NOTES,BIT解禁曲
6th style,rottel-da-sun,sampling masters MEGA,NORMAL,5,418,SCRATCH,BIT解禁曲
6th style,rottel-da-sun,sampling masters MEGA,HYPER,8,693,SCRATCH,BIT解禁曲
9th style,rottel-the-Mercury,sampling masters MEGA,NORMAL,6,634,PEAK,初期収録曲
9th style,rottel-the-Mercury,sampling masters MEGA,HYPER,9,924,NOTES,初期収録曲
9th style,rottel-the-Mercury,sampling masters MEGA,ANOTHER,11,1132,CHORD,初期収録曲
SINOBUZ,ROTTERDAM SHOGUN,ABDI from ジャカルタファンクブラザーズ,NORMAL,6,562,NOTES,楽曲パック vol.12
SINOBUZ,ROTTERDAM SHOGUN,ABDI from ジャカルタファンクブラザーズ,HYPER,9,919,NOTES,楽曲パック vol.12
SINOBUZ,ROTTERDAM SHOGUN,ABDI from ジャカルタファンクブラザーズ,ANOTHER,11,1411,NOTES,楽曲パック vol.12
HEROIC VERSE,rough percussionythm,"BEMANI Sound Team ""setup VS 謎の勢力""",NORMAL,6,523,SCRATCH,BIT解禁曲
HEROIC VERSE,rough percussionythm,"BEMANI Sound Team ""setup VS 謎の勢力""",HYPER,9,866,SCRATCH,BIT解禁曲
HEROIC VERSE,rough percussionythm,"BEMANI Sound Team ""setup VS 謎の勢力""",ANOTHER,11,1293,SCRATCH,BIT解禁曲
Lincle,Round and Round,Masayoshi Minoshima feat. 綾倉盟,NORMAL,3,435,PEAK,楽曲パック vol.2
Lincle,Round and Round,Masayoshi Minoshima feat. 綾倉盟,HYPER,6,700,NOTES,楽曲パック vol.2
Lincle,Round and Round,Masayoshi Minoshima feat. 綾倉盟,ANOTHER,10,1230,PEAK,楽曲パック vol.2
6th style,route 80s,sampling masters MEGA,NORMAL,7,562,SCRATCH,BIT解禁曲
6th style,route 80s,sampling masters MEGA,HYPER,11,765,SCRATCH,BIT解禁曲
6th style,route 80s,sampling masters MEGA,ANOTHER,12,900,PEAK,BIT解禁曲
copula,Routing,かめりあ,NORMAL,7,575,PEAK,楽曲パック vol.10
copula,Routing,かめりあ,HYPER,9,918,NOTES,楽曲パック vol.10
copula,Routing,かめりあ,ANOTHER,11,1285,CHORD,楽曲パック vol.10
BISTROVER,Rowdy,Dazsta,NORMAL,5,530,NOTES,楽曲パック vol.22
BISTROVER,Rowdy,Dazsta,HYPER,8,804,PEAK,楽曲パック vol.22
BISTROVER,Rowdy,Dazsta,ANOTHER,11,1311,CHARGE,楽曲パック vol.22
Rootage,ROZA DE ANDALUCIA,SOUND HOLIC Vs. T.Kakuta feat. Nana Takahashi,NORMAL,6,665,NOTES,楽曲パック vol.16
Rootage,ROZA DE ANDALUCIA,SOUND HOLIC Vs. T.Kakuta feat. Nana Takahashi,HYPER,9,1069,NOTES,楽曲パック vol.16
Rootage,ROZA DE ANDALUCIA,SOUND HOLIC Vs. T.Kakuta feat. Nana Takahashi,ANOTHER,11,,,楽曲パック vol.16
BISTROVER,Rub-a Dub-a,kors k,NORMAL,5,461,NOTES,楽曲パック vol.22
BISTROVER,Rub-a Dub-a,kors k,HYPER,8,737,PEAK,楽曲パック vol.22
BISTROVER,Rub-a Dub-a,kors k,ANOTHER,9,1113,CHORD,楽曲パック vol.22
BISTROVER,Rubrum Piano,Xceon,NORMAL,5,491,PEAK,BIT解禁曲
BISTROVER,Rubrum Piano,Xceon,HYPER,9,837,NOTES,BIT解禁曲
BISTROVER,Rubrum Piano,Xceon,ANOTHER,12,1244,NOTES,BIT解禁曲
Rootage,ruin of opals,上ノ瀬つかさ,NORMAL,6,537,SOF-LAN,楽曲パック vol.16
Rootage,ruin of opals,上ノ瀬つかさ,HYPER,10,1012,SOF-LAN,楽曲パック vol.16
Rootage,ruin of opals,上ノ瀬つかさ,ANOTHER,12,1604,SOF-LAN,楽曲パック vol.16
RESIDENT,Ruler or Loser,Maozon feat. Nadia,NORMAL,5,493,NOTES,BIT解禁曲
RESIDENT,Ruler or Loser,Maozon feat. Nadia,HYPER,8,855,NOTES,BIT解禁曲
RESIDENT,Ruler or Loser,Maozon feat. Nadia,ANOTHER,11,1351,NOTES,BIT解禁曲
tricoro,rumrum triplets,yu_tokiwa.djw,NORMAL,5,484,PEAK,楽曲パック vol.4
tricoro,rumrum triplets,yu_tokiwa.djw,HYPER,10,1256,NOTES,楽曲パック vol.4
tricoro,rumrum triplets,yu_tokiwa.djw,ANOTHER,12,1613,CHORD,楽曲パック vol.4
INFINITAS,Rush!!,kors k feat.吉河順央,NORMAL,4,484,NOTES,The 4th セレクション 楽曲パック vol.1
INFINITAS,Rush!!,kors k feat.吉河順央,HYPER,7,,,The 4th セレクション 楽曲パック vol.1
INFINITAS,Rush!!,kors k feat.吉河順央,ANOTHER,10,1131,NOTES,The 4th セレクション 楽曲パック vol.1
tricoro,S!ck,Eagle,NORMAL,5,465,NOTES,楽曲パック vol.3
tricoro,S!ck,Eagle,HYPER,9,961,NOTES,楽曲パック vol.3
tricoro,S!ck,Eagle,ANOTHER,11,1416,NOTES,楽曲パック vol.3
HEROIC VERSE,S!ck (Nhato Remix),Remixed by Nhato,NORMAL,6,556,PEAK,BIT解禁曲
HEROIC VERSE,S!ck (Nhato Remix),Remixed by Nhato,HYPER,9,922,PEAK,BIT解禁曲
HEROIC VERSE,S!ck (Nhato Remix),Remixed by Nhato,ANOTHER,11,1313,PEAK,BIT解禁曲
BISTROVER,S-Bahn,"BEMANI Sound Team ""DARK TRAIN""",NORMAL,5,525,NOTES,楽曲パック vol.21
BISTROVER,S-Bahn,"BEMANI Sound Team ""DARK TRAIN""",HYPER,7,799,NOTES,楽曲パック vol.21
BISTROVER,S-Bahn,"BEMANI Sound Team ""DARK TRAIN""",ANOTHER,9,1093,NOTES,楽曲パック vol.21
Lincle,SA.YO.NA.RA. SUPER STAR,SUPER STAR 満-MITSURU-,NORMAL,5,402,SOF-LAN,BIT解禁曲
Lincle,SA.YO.NA.RA. SUPER STAR,SUPER STAR 満-MITSURU-,HYPER,9,754,PEAK,BIT解禁曲
Lincle,SA.YO.NA.RA. SUPER STAR,SUPER STAR 満-MITSURU-,ANOTHER,11,1192,PEAK,BIT解禁曲
Resort Anthem,SABER WING,TAG,NORMAL,5,372,SOF-LAN,BIT解禁曲
Resort Anthem,SABER WING,TAG,HYPER,9,928,SOF-LAN,BIT解禁曲
Resort Anthem,SABER WING,TAG,ANOTHER,12,1549,SOF-LAN,BIT解禁曲
PENDUAL,Sakura Mirage,Ryu☆,NORMAL,6,520,SCRATCH,BIT解禁曲
PENDUAL,Sakura Mirage,Ryu☆,HYPER,8,731,PEAK,BIT解禁曲
PENDUAL,Sakura Mirage,Ryu☆,ANOTHER,10,1156,PEAK,BIT解禁曲
Resort Anthem,Sakura Reflection,Ryu☆,NORMAL,6,511,PEAK,BIT解禁曲
Resort Anthem,Sakura Reflection,Ryu☆,HYPER,9,879,NOTES,BIT解禁曲
Resort Anthem,Sakura Reflection,Ryu☆,ANOTHER,11,1395,CHARGE,BIT解禁曲
Resort Anthem,sakura storm,Ryu☆,NORMAL,6,550,NOTES,BIT解禁曲
Resort Anthem,sakura storm,Ryu☆,HYPER,10,913,SCRATCH,BIT解禁曲
Resort Anthem,sakura storm,Ryu☆,ANOTHER,12,1498,NOTES,BIT解禁曲
INFINITAS,Sakura Sunrise,Ryu☆,NORMAL,5,,,The 4th セレクション 楽曲パック vol.1
INFINITAS,Sakura Sunrise,Ryu☆,HYPER,9,751,NOTES,The 4th セレクション 楽曲パック vol.1
INFINITAS,Sakura Sunrise,Ryu☆,ANOTHER,11,1182,NOTES,The 4th セレクション 楽曲パック vol.1
PENDUAL,SAMSARA,SOUND HOLIC feat. Nana Takahashi,NORMAL,4,408,SCRATCH,楽曲パック vol.8
PENDUAL,SAMSARA,SOUND HOLIC feat. Nana Takahashi,HYPER,7,786,NOTES,楽曲パック vol.8
PENDUAL,SAMSARA,SOUND HOLIC feat. Nana Takahashi,ANOTHER,10,,,楽曲パック vol.8
SINOBUZ,SAMURAI-Scramble,DJ Mass MAD Izm*,NORMAL,6,559,SCRATCH,楽曲パック vol.12
SINOBUZ,SAMURAI-Scramble,DJ Mass MAD Izm*,HYPER,9,957,SCRATCH,楽曲パック vol.12
SINOBUZ,SAMURAI-Scramble,DJ Mass MAD Izm*,ANOTHER,11,1299,SCRATCH,楽曲パック vol.12
SINOBUZ,SAMURAI-Scramble,DJ Mass MAD Izm*,LEGGENDARIA,12,1572,SCRATCH,楽曲パック vol.12
SINOBUZ,Sarutobi Champion is 拙者,Project B-,NORMAL,6,525,PEAK,楽曲パック vol.13
SINOBUZ,Sarutobi Champion is 拙者,Project B-,HYPER,9,817,PEAK,楽曲パック vol.13
SINOBUZ,Sarutobi Champion is 拙者,Project B-,ANOTHER,11,1425,PEAK,楽曲パック vol.13
Pinky Crush,Satellite Burst,xi,NORMAL,6,609,PEAK,楽曲パック vol.29
Pinky Crush,Satellite Burst,xi,HYPER,10,1217,NOTES,楽曲パック vol.29
Pinky Crush,Satellite Burst,xi,ANOTHER,12,,,楽曲パック vol.29
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",猫叉Master,NORMAL,8,831,NOTES,BIT解禁曲
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",猫叉Master,HYPER,10,1199,NOTES,BIT解禁曲
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",猫叉Master,ANOTHER,12,1656,NOTES,BIT解禁曲
DJ TROOPERS,satfinal,RAM,NORMAL,6,545,PEAK,初期収録曲
DJ TROOPERS,satfinal,RAM,HYPER,8,805,NOTES,初期収録曲
DJ TROOPERS,satfinal,RAM,ANOTHER,10,1016,CHORD,初期収録曲
tricoro,Saturn,Mr.Saturn,NORMAL,6,711,NOTES,楽曲パック vol.4
tricoro,Saturn,Mr.Saturn,HYPER,10,1091,NOTES,楽曲パック vol.4
tricoro,Saturn,Mr.Saturn,ANOTHER,11,1470,PEAK,楽曲パック vol.4
SINOBUZ,SAY BAY,P*Light,NORMAL,5,480,SCRATCH,スタートアップセレクション 楽曲パック vol.1
SINOBUZ,SAY BAY,P*Light,HYPER,9,796,SCRATCH,スタートアップセレクション 楽曲パック vol.1
SINOBUZ,SAY BAY,P*Light,ANOTHER,11,1420,PEAK,スタートアップセレクション 楽曲パック vol.1
PENDUAL,Say YEEEAHH,kors k,NORMAL,6,645,PEAK,BIT解禁曲
PENDUAL,Say YEEEAHH,kors k,HYPER,10,1219,CHORD,BIT解禁曲
PENDUAL,Say YEEEAHH,kors k,ANOTHER,12,1723,CHORD,BIT解禁曲
BISTROVER,Scandal,Osamu Kubota,NORMAL,4,510,PEAK,楽曲パック vol.21
BISTROVER,Scandal,Osamu Kubota,HYPER,9,970,CHARGE,楽曲パック vol.21
BISTROVER,Scandal,Osamu Kubota,ANOTHER,11,1498,CHARGE,楽曲パック vol.21
DJ TROOPERS,scar in the earth,猫叉Master,NORMAL,4,383,PEAK,初期収録曲
DJ TROOPERS,scar in the earth,猫叉Master,HYPER,7,592,PEAK,初期収録曲
DJ TROOPERS,scar in the earth,猫叉Master,ANOTHER,9,831,PEAK,初期収録曲
PENDUAL,Scarlet Moon,REDALiCE feat. Ayumi Nomiya,NORMAL,6,555,PEAK,東方Project セレクション 楽曲パック vol.1
PENDUAL,Scarlet Moon,REDALiCE feat. Ayumi Nomiya,HYPER,9,989,NOTES,東方Project セレクション 楽曲パック vol.1
PENDUAL,Scarlet Moon,REDALiCE feat. Ayumi Nomiya,ANOTHER,11,1438,NOTES,東方Project セレクション 楽曲パック vol.1
PENDUAL,Scars of FAUNA,猫叉Master,NORMAL,5,436,PEAK,楽曲パック vol.9
PENDUAL,Scars of FAUNA,猫叉Master,HYPER,8,816,CHARGE,楽曲パック vol.9
PENDUAL,Scars of FAUNA,猫叉Master,ANOTHER,11,1424,CHARGE,楽曲パック vol.9
Lincle,Scharfrichter,Ashemu,NORMAL,6,522,PEAK,楽曲パック vol.1
Lincle,Scharfrichter,Ashemu,HYPER,9,974,PEAK,楽曲パック vol.1
Lincle,Scharfrichter,Ashemu,ANOTHER,11,1552,CHORD,楽曲パック vol.1
3rd style,Schlagwerk,TaQ,NORMAL,4,412,NOTES,BIT解禁曲
3rd style,Schlagwerk,TaQ,HYPER,11,1043,PEAK,BIT解禁曲
3rd style,Schlagwerk,TaQ,ANOTHER,11,1090,PEAK,BIT解禁曲
SPADA,SCHWARZSCHILD FIELD,L.E.D.,NORMAL,7,653,SCRATCH,楽曲パック vol.7
SPADA,SCHWARZSCHILD FIELD,L.E.D.,HYPER,9,806,NOTES,楽曲パック vol.7
SPADA,SCHWARZSCHILD FIELD,L.E.D.,ANOTHER,11,1143,NOTES,楽曲パック vol.7
HAPPY SKY,SCREAM SQUAD,CALF,NORMAL,6,579,NOTES,BIT解禁曲
HAPPY SKY,SCREAM SQUAD,CALF,HYPER,10,863,PEAK,BIT解禁曲
HAPPY SKY,SCREAM SQUAD,CALF,ANOTHER,12,1072,SCRATCH,BIT解禁曲
HEROIC VERSE,SCREW // owo // SCREW,かめりあ,NORMAL,6,568,SCRATCH,初期収録曲
HEROIC VERSE,SCREW // owo // SCREW,かめりあ,HYPER,9,1104,SCRATCH,初期収録曲
HEROIC VERSE,SCREW // owo // SCREW,かめりあ,ANOTHER,12,1542,SCRATCH,初期収録曲
HAPPY SKY,Scripted Connection⇒ A mix,DJ MURASAME,NORMAL,8,1079,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ A mix,DJ MURASAME,HYPER,10,1269,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ A mix,DJ MURASAME,ANOTHER,11,1382,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ A mix,DJ MURASAME,LEGGENDARIA,12,1816,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ H mix,DJ MURASAME,NORMAL,8,879,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ H mix,DJ MURASAME,HYPER,10,1005,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ H mix,DJ MURASAME,ANOTHER,11,1366,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ H mix,DJ MURASAME,LEGGENDARIA,12,1526,NOTES,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ N mix,DJ MURASAME,NORMAL,6,661,PEAK,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ N mix,DJ MURASAME,HYPER,9,909,PEAK,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ N mix,DJ MURASAME,ANOTHER,10,1179,PEAK,BIT解禁曲
HAPPY SKY,Scripted Connection⇒ N mix,DJ MURASAME,LEGGENDARIA,11,1349,PEAK,BIT解禁曲
SINOBUZ,Seaside Labyrinth,Dirty Androids,NORMAL,4,330,PEAK,楽曲パック vol.12
SINOBUZ,Seaside Labyrinth,Dirty Androids,HYPER,6,620,PEAK,楽曲パック vol.12
SINOBUZ,Seaside Labyrinth,Dirty Androids,ANOTHER,9,972,PEAK,楽曲パック vol.12
GOLD,Second Heaven,Ryu☆,NORMAL,6,500,PEAK,初期収録曲
GOLD,Second Heaven,Ryu☆,HYPER,8,704,PEAK,初期収録曲
GOLD,Second Heaven,Ryu☆,ANOTHER,11,1069,PEAK,初期収録曲
Pinky Crush,Secret Rouge,ハレトキドキ,NORMAL,5,443,PEAK,楽曲パック vol.29
Pinky Crush,Secret Rouge,ハレトキドキ,HYPER,8,828,NOTES,楽曲パック vol.29
Pinky Crush,Secret Rouge,ハレトキドキ,ANOTHER,10,1189,CHORD,楽曲パック vol.29
copula,SEITEN NO TERIYAKI,Kobaryo,NORMAL,4,375,NOTES,楽曲パック vol.10
copula,SEITEN NO TERIYAKI,Kobaryo,HYPER,7,624,NOTES,楽曲パック vol.10
copula,SEITEN NO TERIYAKI,Kobaryo,ANOTHER,11,1128,PEAK,楽曲パック vol.10
copula,SEITEN NO TERIYAKI,Kobaryo,LEGGENDARIA,12,1720,PEAK,楽曲パック vol.10
SINOBUZ,Seize the Day,DJ'TEKINA//SOMETHING feat.yuyoyuppe,NORMAL,5,393,PEAK,BIT解禁曲
SINOBUZ,Seize the Day,DJ'TEKINA//SOMETHING feat.yuyoyuppe,HYPER,9,940,CHORD,BIT解禁曲
SINOBUZ,Seize the Day,DJ'TEKINA//SOMETHING feat.yuyoyuppe,ANOTHER,11,,,BIT解禁曲
SINOBUZ,Selfish Sweet,OSTER project feat. かなたん,NORMAL,3,323,NOTES,楽曲パック vol.12
SINOBUZ,Selfish Sweet,OSTER project feat. かなたん,HYPER,6,496,PEAK,楽曲パック vol.12
SINOBUZ,Selfish Sweet,OSTER project feat. かなたん,ANOTHER,9,905,NOTES,楽曲パック vol.12
copula,Sephirot,SHIKI,NORMAL,5,483,NOTES,楽曲パック vol.10
copula,Sephirot,SHIKI,HYPER,8,842,PEAK,楽曲パック vol.10
copula,Sephirot,SHIKI,ANOTHER,10,1161,NOTES,楽曲パック vol.10
SINOBUZ,SEQUENCE CAT,SLEDLAKE (SLAKE & L.E.D.),NORMAL,6,640,NOTES,楽曲パック vol.12
SINOBUZ,SEQUENCE CAT,SLEDLAKE (SLAKE & L.E.D.),HYPER,10,1333,NOTES,楽曲パック vol.12
SINOBUZ,SEQUENCE CAT,SLEDLAKE (SLAKE & L.E.D.),ANOTHER,12,1985,CHORD,楽曲パック vol.12
RESIDENT,Seraph,satella feat.棗いつき,NORMAL,5,503,PEAK,楽曲パック vol.26
RESIDENT,Seraph,satella feat.棗いつき,HYPER,9,859,PEAK,楽曲パック vol.26
RESIDENT,Seraph,satella feat.棗いつき,ANOTHER,11,1234,PEAK,楽曲パック vol.26
Lincle,Several Words,CAPACITY GATE,NORMAL,4,336,PEAK,楽曲パック vol.1
Lincle,Several Words,CAPACITY GATE,HYPER,8,724,NOTES,楽曲パック vol.1
Lincle,Several Words,CAPACITY GATE,ANOTHER,10,1108,CHARGE,楽曲パック vol.1
Lincle,SHADE,DJ MURASAME vs dj Killer,NORMAL,5,609,PEAK,楽曲パック vol.1
Lincle,SHADE,DJ MURASAME vs dj Killer,HYPER,10,1100,NOTES,楽曲パック vol.1
Lincle,SHADE,DJ MURASAME vs dj Killer,ANOTHER,11,1372,PEAK,楽曲パック vol.1
DJ TROOPERS,Shades of Grey,Fracus,NORMAL,6,,,BIT解禁曲
DJ TROOPERS,Shades of Grey,Fracus,HYPER,9,731,NOTES,BIT解禁曲
DJ TROOPERS,Shades of Grey,Fracus,ANOTHER,10,998,PEAK,BIT解禁曲
RESIDENT,Shadow World,"BEMANI Sound Team ""HuΣeR × 猫叉Master"" feat.Emi Evans",NORMAL,4,510,PEAK,楽曲パック vol.26
RESIDENT,Shadow World,"BEMANI Sound Team ""HuΣeR × 猫叉Master"" feat.Emi Evans",HYPER,8,885,NOTES,楽曲パック vol.26
RESIDENT,Shadow World,"BEMANI Sound Team ""HuΣeR × 猫叉Master"" feat.Emi Evans",ANOTHER,11,1365,CHORD,楽曲パック vol.26
RESIDENT,Shamshir,Blacklolita,NORMAL,5,552,SCRATCH,楽曲パック vol.26
RESIDENT,Shamshir,Blacklolita,HYPER,8,749,SCRATCH,楽曲パック vol.26
RESIDENT,Shamshir,Blacklolita,ANOTHER,10,1129,SCRATCH,楽曲パック vol.26
EPOLIS,Shapeshifter,Avans,NORMAL,6,574,NOTES,楽曲パック vol.27
EPOLIS,Shapeshifter,Avans,HYPER,9,863,NOTES,楽曲パック vol.27
EPOLIS,Shapeshifter,Avans,ANOTHER,11,1335,CHORD,楽曲パック vol.27
SPADA,Shattered control,Vivian,NORMAL,4,350,SCRATCH,楽曲パック vol.7
SPADA,Shattered control,Vivian,HYPER,8,,,楽曲パック vol.7
SPADA,Shattered control,Vivian,ANOTHER,10,1157,NOTES,楽曲パック vol.7
SIRIUS,She is my wife,SUPER STAR 満-MITSURU-,NORMAL,5,356,PEAK,初期収録曲
SIRIUS,She is my wife,SUPER STAR 満-MITSURU-,HYPER,9,795,PEAK,初期収録曲
SIRIUS,She is my wife,SUPER STAR 満-MITSURU-,ANOTHER,10,1020,PEAK,初期収録曲
copula,SHELTER OF THE MIND,YURiCa/花たん,NORMAL,6,645,PEAK,初期収録曲
copula,SHELTER OF THE MIND,YURiCa/花たん,HYPER,9,1037,PEAK,初期収録曲
copula,SHELTER OF THE MIND,YURiCa/花たん,ANOTHER,11,1484,NOTES,初期収録曲
DJ TROOPERS,SHIFT,AKIRA YAMAOKA,NORMAL,5,,,BIT解禁曲
DJ TROOPERS,SHIFT,AKIRA YAMAOKA,HYPER,8,758,PEAK,BIT解禁曲
DJ TROOPERS,SHIFT,AKIRA YAMAOKA,ANOTHER,10,1044,PEAK,BIT解禁曲
tricoro,Shining World,DJ Genki feat. Yukacco,NORMAL,4,568,NOTES,楽曲パック vol.5
